name,ttl,type,value
"evokeescapes.com","3600","NETLIFY","evokeescapess.netlify.app"
"www.evokeescapes.com","3600","NETLIFY","evokeescapess.netlify.app"
"evokeescapes.com","3600","NETLIFYv6","evokeescapess.netlify.app"
"www.evokeescapes.com","3600","NETLIFYv6","evokeescapess.netlify.app"
